iter	RMSE
213	26674.22516
214	26648.58566
215	26633.31261
216	26600.22797
217	26577.11658
218	26542.69722
219	26503.88363
220	26467.10886
221	26440.27582
222	26409.10084
223	26368.93493
224	26343.8738
225	26329.45493
226	26311.25236
227	26279.86826
228	26258.24312
229	26229.12256
230	26213.96258
231	26181.79079
232	26157.15656
233	26141.87055
234	26112.47904
235	26095.52143
236	26073.19281
237	26052.21042
238	26035.79703
239	26005.16186
240	25974.67668
241	25954.78472
242	25940.38931
243	25921.71016
244	25907.27849
245	25881.67027
246	25846.91479
247	25820.96556
248	25799.76921
249	25781.26823
250	25769.9037
251	25740.34772
252	25713.56527
253	25681.41665
254	25665.02813
255	25634.4794
256	25616.81132
257	25592.92291
258	25577.25913
259	25560.8103
260	25538.87654
261	25510.62909
262	25483.2807
263	25465.29558
264	25442.45
265	25424.31922
266	25391.98935
267	25380.12896
268	25366.95118
269	25342.9109
270	25311.43921
271	25279.67397
272	25259.48686
273	25250.11346
274	25238.67186
275	25221.24479
276	25203.78673
277	25190.42817
278	25169.36537
279	25150.10017
280	25136.01473
281	25113.76031
282	25093.62408
283	25083.54956
284	25052.87778
285	25032.43562
286	25014.67558
287	24996.14708
288	24985.20252
289	24964.89221
290	24937.03516
291	24908.08794
292	24887.10137
293	24877.09418
294	24858.17736
295	24839.19928
296	24822.74844
297	24807.92981
298	24793.65499
299	24778.65641
300	24760.32525
301	24746.83193
302	24733.13748
303	24713.66755
304	24680.13636
305	24660.07417
306	24638.22921
307	24626.90367
308	24607.11255
309	24583.70789
310	24547.64076
311	24537.02716
312	24527.49593
313	24506.08026
314	24492.96878
315	24479.77375
316	24461.3988
317	24448.27151
318	24437.99248
319	24411.68935
320	24395.64388
321	24381.15189
322	24358.42957
323	24339.46287
324	24324.29759
325	24309.55228
326	24292.84157
327	24257.92652
328	24249.37275
329	24235.37251
330	24219.33862
331	24207.20992
332	24189.35782
333	24155.4517
334	24141.41086
335	24124.12739
336	24096.96225
337	24078.30163
338	24058.45435
339	24046.04313
340	24029.5056
341	24019.10482
342	24001.83852
343	23990.37781
344	23967.26861
345	23959.75388
346	23946.20639
347	23924.83875
348	23913.87102
349	23893.59801
350	23873.97383
351	23862.43436
352	23842.93032
353	23829.82605
354	23816.67853
355	23791.68962
356	23779.67565
357	23769.07805
358	23746.55242
359	23734.48255
360	23722.09074
361	23706.57803
362	23680.98208
363	23666.25042
364	23657.03907
365	23646.14188
366	23628.21817
367	23613.92004
368	23602.98321
369	23593.60637
370	23581.58043
371	23565.33632
372	23548.89267
373	23536.73907
374	23522.5036
375	23508.0368
376	23495.85152
377	23487.68258
378	23460.37429
379	23438.89821
380	23418.26834
381	23401.52822
382	23392.7295
383	23381.8354
384	23373.47343
385	23361.63582
386	23351.99774
387	23339.86578
388	23328.99672
389	23310.57193
390	23296.84485
391	23283.01184
392	23271.57274
393	23255.13079
394	23234.65361
395	23224.91141
396	23209.67239
397	23198.36078
398	23182.75674
399	23172.37139
400	23148.76888
401	23136.11715
402	23122.41714
403	23111.79478
404	23099.39944
405	23071.06006
406	23054.10093
407	23039.77823
408	23028.81175
409	23014.10062
410	23000.02155
411	22988.49539
412	22974.34855
413	22952.14175
414	22940.91083
415	22929.38941
416	22918.31686
417	22900.05338
418	22888.08761
419	22875.64384
420	22865.32429
421	22850.8756
422	22841.06408
423	22835.37943
424	22819.65748
425	22809.47225
426	22803.53366
427	22790.19316
428	22782.1419
429	22769.20151
430	22756.35947
431	22736.37119
432	22728.36562
433	22716.15456
434	22696.44752
435	22682.56432
436	22673.85471
437	22664.22608
438	22656.40366
439	22640.59729
440	22627.9982
441	22605.84113
442	22595.27495
443	22586.89216
444	22578.54532
445	22571.23274
446	22556.3457
447	22544.65308
448	22529.2308
449	22521.51905
450	22503.93996
451	22491.33169
452	22477.25703
453	22467.42689
454	22453.6183
455	22443.37981
456	22428.31534
457	22408.93035
458	22391.8762
459	22376.74074
460	22364.42654
461	22345.42468
462	22339.06837
463	22332.72525
464	22326.25057
465	22315.63448
466	22307.43119
467	22296.49563
468	22278.11582
469	22262.95605
470	22253.44486
471	22238.77255
472	22227.98925
473	22217.36503
474	22205.40606
475	22196.23973
476	22177.94994
477	22164.24843
478	22151.80265
479	22138.68159
480	22130.2404
481	22119.39898
482	22103.20884
483	22092.02021
484	22074.77675
485	22064.60574
486	22041.1938
487	22027.942
488	22017.27891
489	22004.84664
490	21998.55126
491	21987.04697
492	21975.97204
493	21950.17508
494	21938.83939
495	21927.71087
496	21905.72638
497	21892.57024
498	21886.20281
499	21878.56262
500	21870.27817
501	21863.46563
502	21841.21556
503	21829.21547
504	21812.07811
505	21797.05928
506	21782.56745
507	21767.73486
508	21758.66034
509	21746.41525
510	21738.63456
511	21730.63188
512	21720.7724
513	21710.68272
514	21694.60577
515	21681.87354
516	21671.39292
517	21656.99186
518	21648.55455
519	21635.09256
520	21624.68917
521	21616.29375
522	21609.41152
523	21599.49223
524	21590.85851
525	21584.19698
526	21571.85653
527	21561.36293
528	21551.13359
529	21533.4515
530	21522.31697
531	21510.77565
532	21495.2796
533	21485.03038
534	21460.94399
535	21455.0265
536	21444.9868
537	21431.3928
538	21423.75499
539	21415.58606
540	21392.02877
541	21378.78476
542	21368.82226
543	21356.65034
544	21347.03077
545	21340.38778
546	21330.40368
547	21317.70945
548	21308.21516
549	21299.36369
550	21286.94368
551	21279.51146
552	21272.16864
553	21263.21147
554	21256.96215
555	21249.81742
